text,label,url,scam_type,payment_flag,urgency_score,work_mode,company_name
Amazon operations intern. Supply chain background preferred. 18000 per month stipend. Apply at amazon.jobs. No registration fee.,0,https://careers.flipkart.com,legit,0,1,remote,Zomato
Nykaa marketing intern. MBA students preferred. 15000 per month stipend. Apply via Internshala. No fee required.,0,https://nextstep.tcs.com,legit,0,2,remote,Microsoft
IBM cloud intern. Computer science required. 16000 per month stipend. Apply via IBM campus recruitment. No fee.,0,https://razorpay.com/careers,legit,0,1,remote,Deloitte
Byju content intern. Subject expertise required. 12000 per month stipend. Written test plus interview. No fee.,0,https://nextstep.tcs.com,legit,0,4,remote,Zomato
Package packing work from home. Security deposit 2000 rupees. Earn 300 per hour. Call HR immediately.,1,http://dailyearn.top,fee_scam,1,8,remote,DailyEarn Network
HCL software intern. Python SQL required. 10000 per month stipend. Interview technical plus HR round. No fee.,0,https://razorpay.com/careers,legit,0,1,remote,PhonePe
Captcha typing work from home. Earn 200 per hour. Security deposit 1500 rupees. WhatsApp 9000011111.,1,http://work-online123.online,fee_scam,1,6,remote,DailyEarn Network
Image tagging work. Training fee 300 rupees. Work from mobile. 100 per image. Apply now urgent.,1,http://workfromhome.tk,fee_scam,1,8,remote,FastEarn Solutions
Part time work from home. Pay 500 joining fee. Earn 5000 daily. WhatsApp now. Limited openings.,1,http://workfromhome.tk,fee_scam,1,9,remote,MobileJob Center
Form filling job online. Pay 999 advance to start. No interview. Immediate joining. WhatsApp HR.,1,http://dailyearn.top,fee_scam,1,6,remote,EasyIncome Hub
IBM cloud intern. Computer science required. 16000 per month stipend. Apply via IBM campus recruitment. No fee.,0,https://nextstep.tcs.com,legit,0,1,remote,Amazon
Data verification work from home. Platform access charge required. No experience necessary.,1,http://dailyearn.top,fee_scam,1,10,remote,DailyEarn Network
Zomato marketing intern. Digital marketing experience preferred. 12000 per month stipend. Apply via Internshala. No fee.,0,https://careers.infosys.com,legit,0,1,remote,Byju's
Google Software Engineering Intern 2025. Python algorithms system design required. 80000 per month stipend. Apply via careers.google.com. No fee required.,0,https://careers.swiggy.com,legit,0,4,remote,IBM
Lenskart AI research intern. Python deep learning required. 35000 per month stipend. Apply via careers portal. No fee.,0,https://careers.myntra.com,legit,0,1,remote,Ola
Data entry from home. Pay 450 to access work portal. 300 per entry. No experience needed.,1,http://jobsfast.online,fee_scam,1,6,remote,WorkOnline India
Infosys hiring software interns. Java Spring Boot required. 15000 per month stipend. 3 months. Apply via Naukri. No fee.,0,https://careers.zomato.com,legit,0,1,remote,Deloitte
Home based job. UPI payment required to join. 400 per hour. Immediate start available. Apply now.,1,http://homejobs.tk,fee_scam,1,9,remote,WorkOnline India
Copy paste work from home. Training fee 600 rupees. Work 2 hours daily. WhatsApp only. Apply now.,1,http://dailyearn.top,fee_scam,1,9,remote,HomeWork Pro
Typing work from home. Registration fee 499 rupees. No qualification required. WhatsApp HR. Apply now.,1,http://work-online123.online,fee_scam,1,8,remote,SmartWork Hub
Paytm backend intern. Node.js MongoDB required. 18000 per month stipend. Apply at Paytm careers page. No charges.,0,https://nextstep.tcs.com,legit,0,4,remote,IBM
Online data job from home. Processing fee 550 rupees. Earn daily. No interview. Immediate joining.,1,http://earnonline.xyz,fee_scam,1,10,remote,MobileJob Center
Copy paste work from home. Training fee 600 rupees. Work 2 hours daily. WhatsApp only. Apply now.,1,http://easyjobs.xyz,fee_scam,1,7,remote,WorkOnline India
Easy mobile job. Pay 250 activation fee. Earn 1500 daily. No skills needed. WhatsApp now.,1,http://govt-internship.xyz,fee_scam,1,9,remote,DailyEarn Network
Mobile job opportunity. Pay 150 registration. Earn 1000 per day. Work from home. Seats limited.,1,http://wfh-jobs.tk,fee_scam,1,10,remote,InstantEarn Corp
Cleartax finance intern. Commerce background. 10000 per month stipend. 2 rounds of interview. Offer letter provided. No fee.,0,https://nextstep.tcs.com,legit,0,3,remote,Paytm
Microsoft Azure cloud intern. Azure certifications preferred. 30000 per month stipend. Apply via careers.microsoft.com. No charges.,0,https://careers.google.com,legit,0,3,remote,Deloitte
Earn 2000 daily from home. Pay 300 activation fee. Simple mobile tasks. No skills needed. Apply now.,1,http://work-online123.online,fee_scam,1,7,remote,InstantEarn Corp
Affiliate marketing job. Pay 999 starter fee. Earn 800 per referral. Work from home. Apply now.,1,http://quickearn.top,fee_scam,1,8,remote,DailyEarn Network
Amazon operations intern. Supply chain background preferred. 18000 per month stipend. Apply at amazon.jobs. No registration fee.,0,https://careers.microsoft.com,legit,0,3,remote,PhonePe
Exciting opportunity with our growing startup. Flexible hours. Send 500 rupees to confirm interest. Closing soon.,1,http://jobsfast.online,fee_scam,1,10,remote,FastEarn Solutions
Razorpay backend intern. Python Node required. 20000 per month stipend. 2 technical rounds. Apply via careers portal.,0,https://careers.flipkart.com,legit,0,2,remote,Razorpay
Earn 2000 daily from home. Pay 300 activation fee. Simple mobile tasks. No skills needed. Apply now.,1,http://dailyearn.top,fee_scam,1,9,remote,MobileJob Center
Flipkart data science internship. Python ML pandas required. 25000 per month stipend. Apply via LinkedIn. Offer letter provided.,0,https://careers.hdfcbank.com,legit,0,4,remote,Amazon
Home typing job. Training charge 400 rupees. 60 per page. No experience needed. WhatsApp HR now.,1,http://incomeeasy.xyz,fee_scam,1,9,remote,InstantEarn Corp
Flipkart data science internship. Python ML pandas required. 25000 per month stipend. Apply via LinkedIn. Offer letter provided.,0,https://careers.google.com,legit,0,3,remote,Razorpay
Online tutor hiring. Pay 800 registration fee. No experience needed. WhatsApp HR. Work from home.,1,http://wfh-jobs.tk,fee_scam,1,7,remote,MobileJob Center
MakeMyTrip marketing intern. Digital marketing required. 12000 per month stipend. Apply via Internshala. No fee.,0,https://careers.microsoft.com,legit,0,3,remote,Byju's
Captcha typing work from home. Earn 200 per hour. Security deposit 1500 rupees. WhatsApp 9000011111.,1,http://earnonline.xyz,fee_scam,1,10,remote,SmartWork Hub
Razorpay UI UX Design Intern. Figma Adobe XD required. 15000 per month stipend. Apply at LetsIntern. No fee charged.,0,https://careers.swiggy.com,legit,0,3,remote,Wipro
Internet job available. Registration fee applies. Earn 500 daily. No qualification required. Apply now.,1,http://quickearn.top,fee_scam,1,8,remote,InstantEarn Corp
Work from home data entry job. Earn 50000 weekly. No experience needed. Pay 500 training fee. WhatsApp HR now.,1,http://easyjobs.xyz,fee_scam,1,7,remote,DailyEarn Network
MakeMyTrip marketing intern. Digital marketing required. 12000 per month stipend. Apply via Internshala. No fee.,0,https://careers.infosys.com,legit,0,3,remote,Zomato
NGO internship program. Social work background preferred. Travel allowance provided. No salary. Application takes 2 weeks.,0,https://careers.infosys.com,legit,0,2,remote,IBM
Flipkart data science internship. Python ML pandas required. 25000 per month stipend. Apply via LinkedIn. Offer letter provided.,0,https://careers.flipkart.com,legit,0,4,remote,Zomato
Survey and form filling work from home. Registration 350 rupees. Earn 200 per task. Join now.,1,http://easyjobs.xyz,fee_scam,1,10,remote,OnlineJob India
Home typing job. Training charge 400 rupees. 60 per page. No experience needed. WhatsApp HR now.,1,http://workfromhome.tk,fee_scam,1,6,remote,DailyEarn Network
Remote content creation role. Small activation fee to join platform. Guaranteed returns. Urgent.,1,http://wfh-jobs.tk,fee_scam,1,7,remote,DailyEarn Network
Government internship program. Pay 2000 processing fee. Limited seats. Urgent. WhatsApp HR immediately.,1,http://quickearn.top,fee_scam,1,8,remote,HomeWork Pro
IBM cloud intern. Computer science required. 16000 per month stipend. Apply via IBM campus recruitment. No fee.,0,https://careers.google.com,legit,0,2,remote,IBM
Lenskart AI research intern. Python deep learning required. 35000 per month stipend. Apply via careers portal. No fee.,0,https://careers.microsoft.com,legit,0,1,remote,Infosys
Video watching job. Registration 200 rupees. Earn 50 per video. Work 2 hours daily. Join today.,1,http://jobsfast.online,fee_scam,1,7,remote,DailyEarn Network
Ola product intern. Analytical skills required. 20000 per month stipend. Apply via careers.olacabs.com. No charges.,0,https://careers.myntra.com,legit,0,1,remote,Deloitte
Ola product intern. Analytical skills required. 20000 per month stipend. Apply via careers.olacabs.com. No charges.,0,https://careers.google.com,legit,0,3,remote,Byju's
Zomato marketing intern. Digital marketing experience preferred. 12000 per month stipend. Apply via Internshala. No fee.,0,https://amazon.jobs,legit,0,4,remote,Deloitte
Video watching job. Registration 200 rupees. Earn 50 per video. Work 2 hours daily. Join today.,1,http://quickearn.top,fee_scam,1,6,remote,HomeWork Pro
Simple online work. Registration fee 300 rupees. Earn 600 daily. Work from anywhere. Join now.,1,http://easyjobs.xyz,fee_scam,1,6,remote,InstantEarn Corp
Microsoft Azure cloud intern. Azure certifications preferred. 30000 per month stipend. Apply via careers.microsoft.com. No charges.,0,https://careers.infosys.com,legit,0,4,remote,Paytm
Razorpay UI UX Design Intern. Figma Adobe XD required. 15000 per month stipend. Apply at LetsIntern. No fee charged.,0,https://careers.infosys.com,legit,0,1,remote,Byju's
Online survey work. Earn 3000 daily. Processing fee 750 rupees. UPI payment required. Join today!,1,http://work-online123.online,fee_scam,1,10,remote,HomeWork Pro
Survey and form filling work from home. Registration 350 rupees. Earn 200 per task. Join now.,1,http://easyjobs.xyz,fee_scam,1,7,remote,QuickJob India
Research internship at IIT Delhi. No stipend. Academic credit provided. Lab access fee per institution policy.,0,https://careers.infosys.com,legit,0,4,remote,IBM
Wipro cybersecurity intern. Networking basics required. 12000 per month stipend. Apply via Wipro campus portal. No fee.,0,https://nextstep.tcs.com,legit,0,2,remote,PhonePe
Form filling job online. Pay 999 advance to start. No interview. Immediate joining. WhatsApp HR.,1,http://jobsfast.online,fee_scam,1,9,remote,MobileJob Center
Flipkart data science internship. Python ML pandas required. 25000 per month stipend. Apply via LinkedIn. Offer letter provided.,0,https://amazon.jobs,legit,0,4,remote,TCS
Cleartax finance intern. Commerce background. 10000 per month stipend. 2 rounds of interview. Offer letter provided. No fee.,0,https://careers.microsoft.com,legit,0,1,remote,Byju's
Ather Energy hardware intern. Electronics background. 15000 per month stipend. Technical interview. Apply via LinkedIn.,0,https://nextstep.tcs.com,legit,0,2,remote,Flipkart
Ola product intern. Analytical skills required. 20000 per month stipend. Apply via careers.olacabs.com. No charges.,0,https://careers.myntra.com,legit,0,3,remote,Zomato
Captcha typing work from home. Earn 200 per hour. Security deposit 1500 rupees. WhatsApp 9000011111.,1,http://incomeeasy.xyz,fee_scam,1,7,remote,QuickJob India
Zepto supply chain intern. Operations background. 14000 per month stipend. 2 interview rounds. No charges.,0,https://careers.flipkart.com,legit,0,1,remote,Swiggy
Home typing job. Training charge 400 rupees. 60 per page. No experience needed. WhatsApp HR now.,1,http://work-online123.online,fee_scam,1,9,remote,FastEarn Solutions
Reseller work from home. Pay 1500 training fee to confirm seat. UPI fastjobs gpay. Urgent hiring.,1,http://earnonline.xyz,fee_scam,1,9,remote,OnlineJob India
Work from home opportunity. Pay small fee to confirm seat. Earn 3000 weekly. Urgent. WhatsApp HR.,1,http://easyjobs.xyz,fee_scam,1,7,remote,FastEarn Solutions
Reseller work from home. Pay 1500 training fee to confirm seat. UPI fastjobs gpay. Urgent hiring.,1,http://easyjobs.xyz,fee_scam,1,9,remote,DailyEarn Network
Accenture digital intern. Engineering background. 14000 per month stipend. Online assessment plus HR. No charges.,0,https://careers.infosys.com,legit,0,3,remote,Amazon
Swiggy software intern. Python Django required. 18000 per month stipend. Apply via Internshala. Offer letter. No fee.,0,https://careers.myntra.com,legit,0,2,remote,Byju's
PhonePe product intern. Engineering background. 22000 per month stipend. 2 technical rounds. Apply via LinkedIn. No fee.,0,https://careers.zomato.com,legit,0,2,remote,Flipkart
Zomato marketing intern. Digital marketing experience preferred. 12000 per month stipend. Apply via Internshala. No fee.,0,https://careers.myntra.com,legit,0,3,remote,Microsoft
Work from home internship. Pay advance fee. Earn weekly. WhatsApp HR. Limited slots available now.,1,http://work-online123.online,fee_scam,1,6,remote,QuickJob India
MLM network marketing. Registration fee 799 rupees. Refer others earn 1000 per referral. WhatsApp now.,1,http://work-online123.online,fee_scam,1,10,remote,DailyEarn Network
Amazon operations intern. Supply chain background preferred. 18000 per month stipend. Apply at amazon.jobs. No registration fee.,0,https://careers.olacabs.com,legit,0,3,remote,Byju's
Zoho product intern. Engineering background. 15000 per month stipend. Technical interview. Apply via Zoho careers. No fee.,0,https://amazon.jobs,legit,0,4,remote,Flipkart
CRED data intern. Python SQL required. 20000 per month stipend. Take home assignment. Apply via company portal. No fee.,0,https://careers.olacabs.com,legit,0,4,remote,TCS
Swiggy product management intern. MBA students preferred. 20000 per month stipend. Interview process 2 rounds. No fee.,0,https://careers.microsoft.com,legit,0,4,remote,Accenture
Groww finance intern. Commerce economics background. 14000 per month stipend. Apply via Naukri. No fee required.,0,https://amazon.jobs,legit,0,1,remote,Razorpay
Online job available. Pay 400 processing fee. Earn 1000 daily. WhatsApp for details. Apply now.,1,http://homejobs.tk,fee_scam,1,10,remote,WorkOnline India
Dream11 software intern. Java Python required. 18000 per month stipend. Coding test included. Apply via campus portal.,0,https://careers.microsoft.com,legit,0,1,remote,Google
Affiliate marketing job. Pay 999 starter fee. Earn 800 per referral. Work from home. Apply now.,1,http://wfh-jobs.tk,fee_scam,1,10,remote,OnlineJob India
Easy mobile job. Pay 250 activation fee. Earn 1500 daily. No skills needed. WhatsApp now.,1,http://fastearning.site,fee_scam,1,10,remote,DailyEarn Network
Looking for motivated individuals for remote team. Small commitment charge applies. Contact us on WhatsApp.,1,http://fastearning.site,fee_scam,1,9,remote,HomeWork Pro
Ola product intern. Analytical skills required. 20000 per month stipend. Apply via careers.olacabs.com. No charges.,0,https://careers.hdfcbank.com,legit,0,3,remote,HCL
Infosys hiring software interns. Java Spring Boot required. 15000 per month stipend. 3 months. Apply via Naukri. No fee.,0,https://razorpay.com/careers,legit,0,4,remote,Byju's
Accenture digital intern. Engineering background. 14000 per month stipend. Online assessment plus HR. No charges.,0,https://careers.myntra.com,legit,0,1,remote,Deloitte
Deloitte business analyst intern. MBA preferred. 20000 per month stipend. Case study interview. Apply via Deloitte. No fee.,0,https://amazon.jobs,legit,0,4,remote,Ola
Typing work from home. Registration fee 499 rupees. No qualification required. WhatsApp HR. Apply now.,1,http://quickearn.top,fee_scam,1,6,remote,WorkOnline India
Work from home opportunity. Pay small fee to confirm seat. Earn 3000 weekly. Urgent. WhatsApp HR.,1,http://work-online123.online,fee_scam,1,9,remote,WorkOnline India
Groww finance intern. Commerce economics background. 14000 per month stipend. Apply via Naukri. No fee required.,0,https://careers.olacabs.com,legit,0,3,remote,Deloitte
HDFC Bank finance intern. Commerce background required. 10000 per month stipend. Apply via company portal. No fee.,0,https://careers.myntra.com,legit,0,1,remote,Paytm
Earn 2000 daily from home. Pay 300 activation fee. Simple mobile tasks. No skills needed. Apply now.,1,http://earnonline.xyz,fee_scam,1,8,remote,QuickJob India
Home based job. UPI payment required to join. 400 per hour. Immediate start available. Apply now.,1,http://easyjobs.xyz,fee_scam,1,6,remote,WorkOnline India
MakeMyTrip marketing intern. Digital marketing required. 12000 per month stipend. Apply via Internshala. No fee.,0,https://careers.zomato.com,legit,0,1,remote,Accenture
Digital marketing work from home. Registration fee 1500 rupees. Urgent hiring. WhatsApp for details.,1,http://incomeeasy.xyz,fee_scam,1,9,remote,SmartWork Hub
Affiliate marketing job. Pay 999 starter fee. Earn 800 per referral. Work from home. Apply now.,1,http://homejobs.tk,fee_scam,1,7,remote,FastEarn Solutions
MLM network marketing. Registration fee 799 rupees. Refer others earn 1000 per referral. WhatsApp now.,1,http://jobsfast.online,fee_scam,1,10,remote,WorkOnline India
Urban Company product intern. MBA students. 18000 per month stipend. Case interview. Apply via LinkedIn. No fee.,0,https://amazon.jobs,legit,0,1,remote,HCL
Reseller work from home. Pay 1500 training fee to confirm seat. UPI fastjobs gpay. Urgent hiring.,1,http://wfh-jobs.tk,fee_scam,1,10,remote,DailyEarn Network
Infosys hiring software interns. Java Spring Boot required. 15000 per month stipend. 3 months. Apply via Naukri. No fee.,0,https://razorpay.com/careers,legit,0,4,remote,TCS
Google Software Engineering Intern 2025. Python algorithms system design required. 80000 per month stipend. Apply via careers.google.com. No fee required.,0,https://careers.olacabs.com,legit,0,1,remote,Deloitte
Amazon operations intern. Supply chain background preferred. 18000 per month stipend. Apply at amazon.jobs. No registration fee.,0,https://careers.google.com,legit,0,2,remote,PhonePe
Captcha typing work from home. Earn 200 per hour. Security deposit 1500 rupees. WhatsApp 9000011111.,1,http://dailyearn.top,fee_scam,1,8,remote,HomeWork Pro
Online survey work. Earn 3000 daily. Processing fee 750 rupees. UPI payment required. Join today!,1,http://jobsfast.online,fee_scam,1,10,remote,FastEarn Solutions
Paytm backend intern. Node.js MongoDB required. 18000 per month stipend. Apply at Paytm careers page. No charges.,0,https://careers.zomato.com,legit,0,2,remote,Razorpay
Swiggy software intern. Python Django required. 18000 per month stipend. Apply via Internshala. Offer letter. No fee.,0,https://careers.infosys.com,legit,0,1,remote,HCL
Online data job from home. Processing fee 550 rupees. Earn daily. No interview. Immediate joining.,1,http://incomeeasy.xyz,fee_scam,1,9,remote,HomeWork Pro
